,년도,분기,호선명,지하철역,시간대_00~06_승차_인원,시간대_06~11_승차_인원,시간대_11~14_승차_인원,시간대_14~17_승차_인원,시간대_17~21_승차_인원,시간대_21~24_승차_인원,시간대_00~06_하차_인원,시간대_06~11_하차_인원,시간대_11~14_하차_인원,시간대_14~17_하차_인원,시간대_17~21_하차_인원,시간대_21~24_하차_인원
11741,2020,1,7호선,고속터미널,6589,193162,207154,273682,405087,251434,9511,491703,198864,174032,165031,64350
11742,2020,1,7호선,공릉(서울과학기술대),19383,364475,135343,139056,160939,79330,17364,164662,104664,141001,286966,161365
11743,2020,1,7호선,광명사거리,65477,878938,262006,255698,267632,123308,31471,274527,212076,296831,634765,323011
11744,2020,1,7호선,군자(능동),26762,446663,141317,151337,222506,122866,12453,192854,92775,132495,274707,149995
11745,2020,1,7호선,굴포천,19199,327477,92197,86615,97399,50941,12262,100724,67261,95832,263305,153353
11746,2020,1,7호선,까치울,10102,284153,73758,70634,75169,33747,6985,73185,51316,69077,191986,112304
11747,2020,1,7호선,남구로,52825,323484,117320,133328,428265,125057,11831,577578,120535,135578,250730,139077
11748,2020,1,7호선,남성,17374,426817,124090,108975,112575,60473,11876,126144,87899,124933,268774,150676
11749,2020,1,7호선,내방,8881,224885,120951,158121,369813,138036,12305,498356,122472,129788,192673,90528
11750,2020,1,7호선,노원,28199,387035,251321,302250,335809,218119,19978,395808,262619,315750,440119,183146
11751,2020,1,7호선,논현,20051,151018,130213,216626,620631,316075,10126,922589,196585,185336,235637,88432
11752,2020,1,7호선,대림(구로구청),30850,192924,95706,115627,134063,59948,6519,144076,105950,106908,159990,96536
11753,2020,1,7호선,도봉산,12288,394131,86017,91056,74461,21985,20944,129677,92465,102588,258601,180242
11754,2020,1,7호선,뚝섬유원지,13177,238261,72125,92334,125261,58789,6257,97356,78505,125843,181377,94212
11755,2020,1,7호선,마들,26096,495873,138147,111816,90351,34793,18245,103550,87565,129207,296157,182051
11756,2020,1,7호선,먹골,21029,379321,116947,108870,116536,52497,12026,114129,82782,120597,266754,153078
11757,2020,1,7호선,면목,34738,602058,166807,149557,162666,67296,18789,169447,116230,182747,391815,228968
11758,2020,1,7호선,반포,4000,99611,57353,86236,127807,77612,4036,183453,74675,62916,79486,37196
11759,2020,1,7호선,보라매,16567,239010,92485,103532,186152,66467,12356,242350,78047,86049,179111,93337
11760,2020,1,7호선,부천시청,16110,351729,113285,132473,185313,118306,15416,205934,109288,138899,291351,137677
11761,2020,1,7호선,부천종합운동장,9600,166397,43748,42643,65441,19431,6559,77698,28157,35510,86847,52887
11762,2020,1,7호선,부평구청,22706,495143,105505,90931,119560,49109,16973,115573,56121,84616,253042,167221
11763,2020,1,7호선,사가정,32093,539291,175746,169171,194995,94945,19151,209118,129956,190330,405106,222150
11764,2020,1,7호선,삼산체육관,7323,200269,50701,46164,43118,16614,7107,38596,32544,46784,117593,71056
11765,2020,1,7호선,상도,13392,343990,116551,121293,138262,64580,16021,156730,87138,112378,236026,135012
11766,2020,1,7호선,상동,15430,342425,127243,157188,212104,145388,15580,239134,144316,158126,309631,148898
